"","temp","present","mean.presence","sd","se.presence"
"1","Fluctuation","A",2.86929920954027,1.48331351661284,0.741656758306418
"2","Increase","A",2.88164240905324,2.59285544722136,1.29642772361068
"3","IncreaseFluctuation","A",2.9713165765448,1.66666176884689,0.833330884423444
"4","Fluctuation","D",2.43573477442987,1.92994518875428,0.964972594377139
"5","Increase","D",2.82278409538014,1.79036968001539,0.895184840007696
"6","IncreaseFluctuation","D",3.43718955977083,1.74967729281331,0.874838646406655
"7","Fluctuation","G",3.92093218047499,2.31562394339102,1.15781197169551
"8","Increase","G",1.36075188754891,2.45879409758522,1.22939704879261
"9","IncreaseFluctuation","G",1.98430842528674,0.831476131556432,0.415738065778216
"10","Fluctuation","R",5.37249973538086,3.26565339668716,1.63282669834358
"11","Increase","R",3.75588935140761,2.3121452006228,1.1560726003114
"12","IncreaseFluctuation","R",4.85759966895166,1.63343272087839,0.816716360439197
"13","Fluctuation","T",1.89430446382981,1.23656845150924,0.618284225754622
"14","Increase","T",2.38822295419951,2.69949060689932,1.34974530344966
"15","IncreaseFluctuation","T",3.21361472561688,0.841134505225306,0.420567252612653
